Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,Open_IJR,Close_IJR,Volume_IJR,ADV20_IJR,strategy_2_n,strategy_2,strategy_2_md,strategy_2_n_etf,strategy_2_etf,strategy_2_md_etf,strategy_2_net,Volatility,Open_IJH,Close_IJH,Volume_IJH,ADV20_IJH,Open_SPY,Close_SPY,Volume_SPY,ADV20_SPY,Previous_Close,Previous_Close_7D
2024-09-23,11.0,11.02999973,10.76000023,10.97999954,30785100,37740730.0,-0.002724858,AAL,S&P MidCap 400,Industrials,Index Review,116.7536817,116.4251404,2678300.0,3708990.0,1.0,-0.0018215355954377,-0.0018215355954377,1.0,-0.0028219102753171,-0.0028219102753171,0.0010003746798793,0.0173849086074573,,,,,,,,,,
2024-09-24,11.02000046,11.18999958,10.92000008,11.03999996,29446500,38161640.0,0.005464519,AAL,S&P MidCap 400,Industrials,Index Review,116.9328842,116.4550018,2792400.0,3707120.0,2.0,0.0054645193546155,0.0054645193546155,2.0,0.0002564858405788,0.0002564858405788,0.0052080335140367,0.01672328105093,,,,,,,,,10.97999954,
2024-09-25,11.06000042,11.18000031,10.97000027,11.0,29157100,38454340.0,-0.003623185,AAL,S&P MidCap 400,Industrials,Index Review,116.3300018,114.9499969,3450600.0,3751940.0,3.0,-0.0036231847957361,0.0009206672794397,3.0,-0.0129234887015389,-0.00633350143048,0.0072541687099196,0.0167160258344315,,,,,,,,,11.03999996,
2024-09-26,11.35999966,11.97999954,11.35000038,11.78999996,62353500,40545325.0,0.071818178,AAL,S&P MidCap 400,Industrials,Index Review,116.1900024,115.6900024,2345600.0,3764055.0,4.0,0.0718181781818181,0.0245531709135658,4.0,0.0064376295777002,-0.0020764577610866,0.0266296286746524,0.0224680277319898,,,,,,,,,11.0,
2024-09-27,11.81999969,11.85999966,11.56000042,11.56000042,30783800,40972510.0,-0.019508019,AAL,S&P MidCap 400,Industrials,Index Review,116.8700027,116.5599976,4658800.0,3857940.0,5.0,-0.0195080187260661,0.0135378735036578,5.0,0.0075200551642481,0.000322670470247,0.0132152030334108,0.0229286810680609,,,,,,,,,11.78999996,
2024-09-30,11.47000027,11.57999992,11.19999981,11.23999977,26661600,40979520.0,-0.027681716,AAL,S&P MidCap 400,Industrials,Index Review,116.1999969,116.9599991,3630500.0,3936535.0,6.0,-0.0276817161222905,0.0052939555784681,6.0,0.0034317219306463,0.0009444807623269,0.0043494748161412,0.023728997041346,,,,,,,,,11.56000042,
2024-10-01,11.27000046,11.32999992,10.81999969,10.89999962,42847400,41953150.0,-0.030249125,AAL,S&P MidCap 400,Industrials,Index Review,116.5199966,115.4499969,5628000.0,3821295.0,7.0,-0.0302491242844573,-0.0006298910653527,7.0,-0.0129104156260206,-0.001364668635731,0.0007347775703783,0.0248633008041042,,,,,,,,,11.23999977,10.97999954
2024-10-02,10.72999954,10.85999966,10.60999966,10.73999977,28779600,42286480.0,-0.014678886,AAL,S&P MidCap 400,Industrials,Index Review,115.0199966,114.9199982,2997500.0,3833710.0,8.0,-0.0146788858328417,-0.0026368903178511,8.0,-0.0045907207815612,-0.0018255332279924,-0.0008113570898586,0.0251276788645533,,,,,,,,,10.89999962,11.03999996
2024-10-03,10.68999958,10.93999958,10.56999969,10.81999969,32925600,42009395.0,0.007448783,AAL,S&P MidCap 400,Industrials,Index Review,114.1800003,114.0599976,3157600.0,3826160.0,9.0,0.0074487822824225,-0.0013761812428169,9.0,-0.0074834720977222,-0.0025327755867086,0.0011565943438916,0.0249277921275348,,,,,,,,,10.73999977,11.0
2024-10-04,11.35999966,11.97000027,11.28999996,11.51000023,53708000,43302655.0,0.063770846,AAL,S&P MidCap 400,Industrials,Index Review,115.7900009,115.7799988,2531300.0,3794500.0,10.0,0.0637708465590538,0.0058623774018353,10.0,0.0150797934086577,-0.0005758234761124,0.0064382008779477,0.0286734827003521,,,,,,,,,10.81999969,11.78999996
